Temperature,Humidity,Visibility,Air_pressure,Wind_speed,Date_time
27.055,46,14.052620198043426,1021.0,7.437481332996634,2021-10-20T16:34:22.474633Z
26.54,45,14.052309512447307,1021.0,6.371693990081922,2021-10-20T16:34:25.165926Z
26.945,48,13.951647379304859,1020.0,7.021603972398526,2021-10-20T16:34:28.374779Z
27.15,46,13.884539290543227,1020.0,6.967751802404624,2021-10-20T16:34:31.068861Z
26.515,45,13.923996361250298,1018.0,6.869505392669477,2021-10-20T16:34:34.184977Z
24.99,47,9.999726596675416,1016.0,5.607708383043029,2021-10-20T16:34:36.965735Z
Temperature,Humidity,Visibility,Air_pressure,Wind_speed,Date_time
26.689999999999998,47,14.017202040085898,1021.0,6.213200617500465,2021-10-21T19:34:24.052570Z
27.055,49,13.816809830589358,1020.0,7.297155718147354,2021-10-21T19:34:26.765260Z
26.86,50,13.602747454863596,1020.0,7.01186307612609,2021-10-21T19:34:30.152623Z
26.235,50,13.615174878708343,1018.0,6.896896048954108,2021-10-21T19:34:32.965120Z
26.869999999999997,55,13.617038992285055,1016.0,6.1190299615233705,2021-10-21T19:34:35.761044Z
25.81,61,9.999726596675416,1016.0,7.277087608367136,2021-10-21T19:34:39.076142Z
Temperature,Humidity,Visibility,Air_pressure,Wind_speed,Date_time
26.63,50,13.892617116042313,1020.5,6.915565051480686,2021-10-22T13:34:22.553976Z
27.075,49,12.78409090909091,1020.0,7.394023889034703,2021-10-22T13:34:25.580633Z
26.375,49,13.918404020520162,1019.0,6.452254700371166,2021-10-22T13:34:28.568535Z
27.28,53,13.785119899785254,1016.0,6.32779499818394,2021-10-22T13:34:31.672420Z
27.935000000000002,53,13.816499144993239,1016.0,7.184275508165645,2021-10-22T13:34:35.155627Z
27.29,55,9.999726596675416,1015.0,7.315676250695935,2021-10-22T13:34:37.782334Z
